UTC,timestamp,kW-1,kW-2,kW-3,kW-4,kW-5,kW-6,kW-7,kW-8,kW-9,kW-10
1422913200,2/2/2015 16:40,0.774816667,0.50475,1.7917,67.1555,1.655833333,0.432416667,1.4345,1.5272,0,0.317666667
1422913260,2/2/2015 16:41,0.811216667,0.499233333,1.807633333,66.27953333,1.664283333,0.434066667,1.39525,1.485916667,0,0.325516667
1422913320,2/2/2015 16:42,0.795783333,0.49975,1.824883333,65.66043333,1.623366667,0.434833333,1.370766667,1.432333333,0,0.326716667
1422913380,2/2/2015 16:43,0.82695,0.499966667,1.840383333,65.0535,1.571666667,0.43545,1.33385,1.365716667,0,0.3151
1422913440,2/2/2015 16:44,0.883383333,0.480766667,1.8487,64.6327,1.473216667,0.436816667,1.28635,1.342383333,0,0.325566667
1422913500,2/2/2015 16:45,0.93515,0.4878,1.860516667,64.30128333,1.4528,0.439483333,1.263433333,1.221266667,0,0.325333333
1422913560,2/2/2015 16:46,0.892016667,0.448283333,1.86975,64.13453333,1.403966667,0.44175,1.247933333,1.216633333,0,0.328616667
1422913620,2/2/2015 16:47,0.993583333,0.413616667,1.8741,64.03186667,1.376316667,0.4436,1.224033333,1.226716667,0,0.33495
1422913680,2/2/2015 16:48,0.88135,0.387066667,1.881766667,63.74753333,1.349683333,0.4471,1.206983333,1.2035,0,0.339283333
1422913740,2/2/2015 16:49,0.824666667,0.368,1.888683333,63.47838333,1.337716667,0.45015,1.197833333,1.186566667,0,0.33145
1422913800,2/2/2015 16:50,0.7958,0.353883333,1.895,63.26751667,1.31605,0.452483333,1.188366667,1.1477,0,0.345533333
1422913860,2/2/2015 16:51,0.772833333,0.317933333,1.894916667,62.97596667,1.297983333,0.455783333,1.17715,1.141883333,0,0.332116667
1422913920,2/2/2015 16:52,0.730333333,0.296516667,1.891133333,62.70166667,1.2955,0.46025,1.169183333,1.1509,0,0.347333333
1422913980,2/2/2015 16:53,0.766083333,0.289366667,1.897916667,62.38046667,1.26505,0.463366667,1.171416667,1.15575,0,0.337783333
1422914040,2/2/2015 16:54,0.667,0.274916667,1.90715,62.11021667,1.248,0.466766667,1.1721,1.1502,0,0.34875
1422914100,2/2/2015 16:55,0.659816667,0.253533333,1.90815,61.81131667,1.23655,0.469316667,1.170366667,1.143233333,0,0.351633333
1422914160,2/2/2015 16:56,0.79305,0.237933333,1.90835,61.54601667,1.247416667,0.4744,1.16315,1.145366667,0,0.3516
1422914220,2/2/2015 16:57,0.866033333,0.238283333,1.9141,61.1883,1.249066667,0.478816667,1.150683333,1.145516667,0,0.350733333
1422914280,2/2/2015 16:58,0.94925,0.22875,1.914083333,60.87293333,1.2386,0.4824,1.1415,1.142983333,0,0.352616667
1422914340,2/2/2015 16:59,0.962216667,0.21205,1.918833333,60.55098333,1.239283333,0.486833333,1.140033333,1.139366667,0,0.35565
1422914400,2/2/2015 17:00,1.001633333,0.217783333,1.907316667,60.22453333,1.228733333,0.490516667,1.12795,1.120966667,0,0.344616667
1422914460,2/2/2015 17:01,0.895766667,0.206683333,1.90675,59.93418333,1.239383333,0.494266667,1.109866667,1.116433333,0,0.3607
1422914520,2/2/2015 17:02,1.003383333,0.210183333,1.903816667,59.76193333,1.24735,0.4968,1.091516667,1.12875,0,0.36325
1422914580,2/2/2015 17:03,1.05925,0.225533333,1.9064,59.52225,1.23735,0.499133333,1.0902,1.129333333,0,0.3405
1422914640,2/2/2015 17:04,1.14275,0.2128,1.905316667,59.22656667,1.24625,0.501316667,1.088533333,1.154533333,0,0.369783333
1422914700,2/2/2015 17:05,1.038866667,0.189,1.90365,58.97778333,1.240316667,0.5035,1.08035,1.15535,0,0.36765
1422914760,2/2/2015 17:06,0.991583333,0.194866667,1.901416667,58.68913333,1.245216667,0.50535,1.0681,1.135416667,0,0.367233333
1422914820,2/2/2015 17:07,0.9548,0.20405,1.89185,58.40743333,1.241383333,0.506933333,1.064883333,1.118383333,0,0.366266667
1422914880,2/2/2015 17:08,0.95195,0.2122,1.882183333,58.06315,1.204533333,0.50735,1.059816667,1.08995,0,0.3669
1422914940,2/2/2015 17:09,0.887333333,0.222383333,1.8697,57.70308333,1.214916667,0.5071,1.060866667,1.07885,0,0.366166667
1422915000,2/2/2015 17:10,0.86725,0.22465,1.865883333,57.3189,1.218816667,0.506033333,1.04565,1.051583333,0,0.3527
1422915060,2/2/2015 17:11,0.848566667,0.209133333,1.858466667,56.99331667,1.2287,0.507133333,1.032566667,1.040133333,0,0.371516667
1422915120,2/2/2015 17:12,0.886516667,0.2346,1.844883333,56.68528333,1.209166667,0.50685,1.020616667,1.02015,0,0.374566667
1422915180,2/2/2015 17:13,0.922183333,0.222216667,1.834033333,56.3546,1.233683333,0.507166667,1.024,1.01845,0,0.376466667
1422915240,2/2/2015 17:14,1.006083333,0.191066667,1.821633333,56.03381667,1.259233333,0.5068,1.026433333,1.00345,0,0.3553
1422915300,2/2/2015 17:15,0.916616667,0.1775,1.812966667,55.73236667,1.213883333,0.506733333,0.996433333,1.007866667,0,0.377066667
1422915360,2/2/2015 17:16,1.066883333,0.1966,1.804916667,55.46645,1.2242,0.507083333,0.981366667,1.009466667,0,0.37765
1422915420,2/2/2015 17:17,0.9622,0.206516667,1.792933333,55.20536667,1.189016667,0.5055,0.9796,1.025683333,0,0.382616667
1422915480,2/2/2015 17:18,0.875566667,0.2088,1.780516667,54.88353333,1.129416667,0.505916667,0.969216667,1.007516667,0,0.386316667
1422915540,2/2/2015 17:19,0.8068,0.2271,1.778083333,54.60255,1.11355,0.50815,0.94865,0.972483333,0,0.39155
1422915600,2/2/2015 17:20,0.952483333,0.242266667,1.766583333,54.31691667,1.074266667,0.50655,0.9036,0.929283333,0,0.380683333
1422915660,2/2/2015 17:21,0.783266667,0.2531,1.75575,54.0711,1.0141,0.5065,0.857433333,0.88425,0,0.391183333
